Country,count(*),Population
"United States",1435,"313,232,044"
Canada,417,"34,030,589"
Australia,296,"21,766,711"
Germany,241,"81,471,834"
Russia,238,"138,739,892"
Brazil,234,"203,429,773"
France,214,"65,312,249"
China,180,"1,336,718,015"
"United Kingdom",162,"62,698,362"
Indonesia,125,"245,613,043"
India,125,"1,189,172,906"
Japan,119,"126,475,664"
"South Africa",96,"49,004,031"
Argentina,94,"41,769,726"
Mexico,83,"113,724,226"
Italy,82,"61,016,804"
Iran,81,"77,891,220"
Sweden,77,"9,088,728"
Colombia,74,"44,725,543"
Turkey,72,"78,785,548"
Philippines,64,"101,833,938"
Spain,62,"46,754,784"
Norway,61,"4,691,849"
Venezuela,57,"27,635,743"
Greece,55,"10,760,136"
Pakistan,52,"187,342,721"
"New Zealand",52,"4,290,347"
Finland,51,"5,259,250"
Thailand,50,"66,720,153"
Chile,44,"16,888,760"
"Saudi Arabia",44,"26,131,703"
Algeria,43,"34,994,937"
Madagascar,43,"21,926,221"
Peru,42,"29,248,943"
Switzerland,41,"7,639,961"
Malaysia,40,"28,728,607"
Poland,38,"38,441,588"
Ukraine,36,"45,134,707"
Kenya,35,"41,070,934"
Ecuador,35,"15,007,343"
Portugal,32,"10,760,305"
Nepal,32,"29,391,883"
Cuba,32,"11,087,330"
"Costa Rica",30,"4,576,562"
Ethiopia,29,"90,873,739"
Vanuatu,29,"224,564"
Denmark,27,"5,529,888"
"Papua New Guinea",26,"6,187,591"
Netherlands,26,"16,847,007"
Angola,24,"13,338,541"
Taiwan,24,"23,071,779"
Vietnam,24,"90,549,390"
Kazakhstan,24,"15,522,373"
Egypt,24,"82,079,636"
Belgium,24,"10,431,477"
"Czech Republic",24,"10,190,213"
Tanzania,23,"42,746,620"
Bolivia,23,"10,118,683"
"Solomon Islands",23,"571,890"
Nigeria,22,"155,215,573"
Morocco,22,"31,968,361"
Iceland,20,"311,058"
Afghanistan,20,"29,835,392"
Romania,19,"21,904,551"
Mozambique,19,"22,948,858"
Austria,19,"8,217,280"
Sudan,18,"45,047,502"
Kiribati,18,"100,743"
Libya,17,"6,597,960"
Fiji,17,"883,125"
Ireland,17,"4,670,976"
